Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Opening Gap,Close - Open,WeekDay,Abs(Diff),Distance from Median,
09-Apr-2020,8973.05,9128.35,8904.55,9111.9,743036134,32907.82,224,139,5,139,,
13-Apr-2020,9103.95,9112.05,8912.4,8993.85,644468815,26749.06,,,2,,,
15-Apr-2020,9196.4,9261.2,8874.1,8925.3,880159358,41878.64,,,4,128.5,,
16-Apr-2020,8851.25,9053.75,8821.9,8992.8,720116479,31318.29,-74,142,5,142,,
17-Apr-2020,9323.45,9324,9091.35,9266.75,684910520,33334.73,,,6,454.100000000002,,
20-Apr-2020,9390.2,9390.85,9230.8,9261.85,726364699,28620.91,,,2,,,
21-Apr-2020,9016.95,9044.4,8909.4,8981.45,655122903,28273.89,,,3,199.6,,
22-Apr-2020,9026.75,9209.75,8946.25,9187.3,734383388,33981.82,,,4,,,
23-Apr-2020,9232.35,9343.6,9170.15,9313.9,666650462,30270.55,45,82,5,82,,
24-Apr-2020,9163.9,9296.9,9141.3,9154.4,659439249,32859.05,,,6,,,
27-Apr-2020,9259.7,9377.1,9250.35,9282.3,512793298,26696.54,,,2,,,
28-Apr-2020,9389.8,9404.4,9260,9380.9,614548983,30091.41,,,3,,,
29-Apr-2020,9408.6,9599.85,9392.35,9553.35,653026950,31673.23,,,4,,,
30-Apr-2020,9753.5,9889.05,9731.5,9859.9,931173802,39332.46,200,106,5,106,,
04-May-2020,9533.5,9533.5,9266.95,9293.5,687487134,29785.95,,,2,190.5,,
05-May-2020,9429.4,9450.9,9190.75,9205.6,725196178,29700.2,,,3,,,
06-May-2020,9226.8,9346.9,9116.5,9270.9,722185448,30798.1,,,4,,,
07-May-2020,9234.05,9277.85,9175.9,9199.05,708740416,59705.53,-37,-35,5,35,,
08-May-2020,9376.95,9382.65,9238.2,9251.5,609053504,30743.45,,,6,,,
11-May-2020,9348.15,9439.9,9219.95,9239.2,704647074,31048.47,,,2,,,
12-May-2020,9168.85,9240.85,9043.95,9196.55,805458787,37706.27,,,3,,,
13-May-2020,9584.2,9584.5,9351.1,9383.55,846395245,36488.9,,,4,218.050000000003,,
14-May-2020,9213.95,9281.1,9119.75,9142.75,602555564,29541.59,-170,-71,5,71,,
15-May-2020,9182.4,9182.4,9050,9136.85,575857112,25847.33,,,6,,,
18-May-2020,9158.3,9158.3,8806.75,8823.25,772983297,33347.46,,,2,,,
19-May-2020,8961.7,9030.35,8855.3,8879.1,762152894,32026.94,,,3,,,
20-May-2020,8889.15,9093.8,8875.35,9066.55,622308140,30721.99,,,4,,,
21-May-2020,9079.45,9178.55,9056.1,9106.25,631542699,28303.51,13,27,5,27,,
22-May-2020,9067.9,9149.6,8968.55,9039.25,675759336,31625.47,,,6,,,
26-May-2020,9099.75,9161.65,8996.65,9029.05,654959960,30871.59,,,3,,,
27-May-2020,9082.2,9334,9004.25,9314.95,763492487,34603.88,,,4,,,
28-May-2020,9364.95,9511.25,9336.5,9490.1,837911425,37761.91,50,125,5,125,,
29-May-2020,9422.2,9598.85,9376.9,9580.3,967005438,45006.25,,,6,,,
01-Jun-2020,9726.85,9931.6,9706.95,9826.15,794183122,38096.92,,,2,,,
02-Jun-2020,9880.85,9995.6,9824.05,9979.1,770192848,36723.11,,,3,,,
03-Jun-2020,10108.3,10176.2,10035.55,10061.55,794664422,38343.61,,,4,,,
04-Jun-2020,10054.25,10123.85,9944.25,10029.1,775106567,36399.04,-7,-25,5,25,,
05-Jun-2020,10093.8,10177.8,10040.75,10142.15,987122302,37824.63,,,6,,,
08-Jun-2020,10326.75,10328.5,10120.25,10167.45,936485541,37819.06,,,2,,,
09-Jun-2020,10181.15,10291.15,10021.45,10046.65,754217460,36201.05,,,3,,,
10-Jun-2020,10072.6,10148.75,10036.85,10116.15,632383068,28485.47,,,4,,,
11-Jun-2020,10094.1,10112.05,9885.05,9902,715453486,30813.85,-22,-192,5,192,,
12-Jun-2020,9544.95,9996.05,9544.35,9972.9,796306399,36505.77,,,6,410.599999999999,,
15-Jun-2020,9919.35,9943.35,9726.35,9813.7,716053036,31926.65,,,2,,,
