Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,40877,65,NIFTY,NIFTY07APR26P24700,07-APR-2026,OPTIDX,PE,24700,0.05,
NFO,40876,65,NIFTY,NIFTY07APR26C24700,07-APR-2026,OPTIDX,CE,24700,0.05,
NFO,40875,65,NIFTY,NIFTY07APR26P24650,07-APR-2026,OPTIDX,PE,24650,0.05,
NFO,40874,800,TATATECH,TATATECH28APR26P340,28-APR-2026,OPTSTK,PE,340,0.05,
NFO,40873,800,TATATECH,TATATECH28APR26C340,28-APR-2026,OPTSTK,CE,340,0.05,
NFO,40872,800,TATATECH,TATATECH30MAR26P465,30-MAR-2026,OPTSTK,PE,465,0.05,
NFO,40871,800,TATATECH,TATATECH30MAR26C465,30-MAR-2026,OPTSTK,CE,465,0.05,
NFO,40870,65,NIFTY,NIFTY07APR26C24650,07-APR-2026,OPTIDX,CE,24650,0.05,
NFO,40869,65,NIFTY,NIFTY07APR26P24600,07-APR-2026,OPTIDX,PE,24600,0.05,
NFO,40868,65,NIFTY,NIFTY07APR26C24600,07-APR-2026,OPTIDX,CE,24600,0.05,
NFO,40867,65,NIFTY,NIFTY07APR26P24550,07-APR-2026,OPTIDX,PE,24550,0.05,
NFO,40866,65,NIFTY,NIFTY07APR26C24550,07-APR-2026,OPTIDX,CE,24550,0.05,
NFO,40865,65,NIFTY,NIFTY07APR26P24500,07-APR-2026,OPTIDX,PE,24500,0.05,
NFO,40864,65,NIFTY,NIFTY07APR26C24500,07-APR-2026,OPTIDX,CE,24500,0.05,
NFO,40863,65,NIFTY,NIFTY07APR26P24450,07-APR-2026,OPTIDX,PE,24450,0.05,
NFO,40862,65,NIFTY,NIFTY07APR26C24450,07-APR-2026,OPTIDX,CE,24450,0.05,
NFO,40861,65,NIFTY,NIFTY07APR26P24400,07-APR-2026,OPTIDX,PE,24400,0.05,
NFO,40860,1300,SWIGGY,SWIGGY28APR26P190,28-APR-2026,OPTSTK,PE,190,0.05,
NFO,40859,1300,SWIGGY,SWIGGY28APR26C190,28-APR-2026,OPTSTK,CE,190,0.05,
NFO,40858,65,NIFTY,NIFTY07APR26C24400,07-APR-2026,OPTIDX,CE,24400,0.05,
