open,high,low,close,average,median,stdDeviation,trend,macd,rsi,bollinger,time,diff,range,diffFromHigh
23357.50,23358.65,23345.35,23348.10,23351.03499999999,23350.574999999997,3.009572228739608,Sideways,DOWN,NEUTRAL,neutral,1.73917296823e+12,-9.400000000001455,13.30000000000291,79.32330827068121
23347.65,23357.6,23346.55,23349.00,23352.514833333353,23352.5,2.224879391238009,Sideways,DOWN,NEUTRAL,neutral,1.739173122734e+12,1.3499999999985448,11.049999999999272,77.82805429863448
23349.05,23354.8,23346.8,23349.40,23351.122999999992,23351.25,1.56122953682885,Sideways,DOWN,NEUTRAL,neutral,1.739173277735e+12,0.3500000000021828,8,67.49999999997272
23350.80,23353.05,23344,23346.45,23348.463833333317,23348.45,1.550704239656552,Sideways,DOWN,NEUTRAL,neutral,1.73917343323e+12,-4.349999999998545,9.049999999999272,72.9281767955699
23345.35,23353.85,23342.95,23347.05,23348.320333333337,23348.3,1.8299280192278842,Sideways,DOWN,NEUTRAL,neutral,1.73917358873e+12,1.7000000000007276,10.899999999997817,62.38532110092325
23347.80,23347.8,23334.45,23338.00,23340.189166666652,23339.2,3.3522590848893103,Sideways,DOWN,NEUTRAL,neutral,1.739173742227e+12,-9.799999999999272,13.349999999998545,73.40823970037708
23337.65,23343.35,23332.05,23341.45,23337.575000000004,23336.9,2.8064672336112366,Sideways,DOWN,NEUTRAL,neutral,1.739173895727e+12,3.7999999999992724,11.299999999999272,16.814159292017163
23341.55,23349.9,23340.35,23341.65,23344.39850000002,23344.4,1.661622525324741,Sideways,DOWN,NEUTRAL,neutral,1.739174049733e+12,0.10000000000218279,9.55000000000291,86.38743455494749
23341.30,23344.05,23325.15,23343.50,23336.146999999997,23335.6,4.707832940961273,Sideways,DOWN,NEUTRAL,neutral,1.739174203725e+12,2.2000000000007276,18.899999999997817,2.9100529100493966
23343.65,23356.05,23338.9,23347.95,23346.505833333325,23346.574999999997,4.253058621614439,Sideways,DOWN,NEUTRAL,neutral,1.739174358227e+12,4.299999999999272,17.149999999997817,47.23032069970598
23348.65,23353,23342.5,23345.50,23347.48499999999,23346.75,2.417621075906416,Sideways,DOWN,NEUTRAL,neutral,1.739174512725e+12,-3.150000000001455,10.5,71.42857142857143
23344.05,23345.05,23317.8,23320.60,23336.696666666674,23337.125,5.847968783166574,Sideways,DOWN,NEUTRAL,neutral,1.739174667726e+12,-23.450000000000728,27.25,89.7247706422045
23319.70,23329.3,23317.9,23325.80,23325.00216666668,23325.675000000003,2.271200924376598,Sideways,DOWN,NEUTRAL,neutral,1.739174819725e+12,6.099999999998545,11.399999999997817,30.70175438597079
23325.60,23336.55,23325.25,23333.50,23333.240166666663,23333.75,2.34794484011482,Sideways,DOWN,NEUTRAL,neutral,1.739174975225e+12,7.900000000001455,11.299999999999272,26.991150442473177
23333.60,23338.95,23329.2,23338.70,23335.242666666665,23335.35,1.9887633231623287,Sideways,DOWN,NEUTRAL,neutral,1.739175129726e+12,5.100000000002183,9.75,2.564102564102564
23338.05,23347.2,23331,23346.65,23338.115833333322,23337.7,4.207024796562117,Sideways,DOWN,NEUTRAL,neutral,1.739175285224e+12,8.600000000002183,16.200000000000728,3.395061728390418
23346.80,23351.65,23342.2,23345.20,23347.107333333326,23346.775,2.318303162995706,Sideways,DOWN,NEUTRAL,neutral,1.739175438723e+12,-1.5999999999985448,9.450000000000728,68.2539682539707
23345.25,23360.15,23342.45,23351.95,23351.870499999994,23352.15,3.848757992305197,Sideways,DOWN,NEUTRAL,neutral,1.739175595729e+12,6.700000000000728,17.700000000000728,46.327683615821414
23351.70,23377,23348.85,23367.90,23358.4645,23354.525,8.152381947422908,Sideways,DOWN,NEUTRAL,neutral,1.739175750223e+12,16.200000000000728,28.150000000001455,32.3268206039008
23367.40,23370.35,23362.65,23364.95,23366.492333333346,23366.475,1.273168444821375,Sideways,DOWN,NEUTRAL,neutral,1.739175905723e+12,-2.4500000000007276,7.69999999999709,70.1298701298683
23366.40,23366.9,23352,23358.45,23359.746000000003,23360.225,3.2846132192390964,Sideways,DOWN,NEUTRAL,neutral,1.739176059723e+12,-7.950000000000728,14.900000000001455,56.7114093959725
23358.85,23362.65,23350.45,23358.30,23357.745166666653,23358.3,2.4091599446464733,Sideways,DOWN,NEUTRAL,neutral,1.739176213725e+12,-0.5499999999992724,12.200000000000728,35.6557377049338
23358.65,23361.9,23349.55,23352.95,23355.655499999993,23355.6,2.6382433707551463,Sideways,DOWN,NEUTRAL,neutral,1.739176366721e+12,-5.700000000000728,12.350000000002183,72.46963562752345
23350.85,23355.4,23336.85,23338.65,23347.026333333342,23348.075,4.33222112649962,Sideways,DOWN,NEUTRAL,neutral,1.739176519723e+12,-12.19999999999709,18.55000000000291,90.29649595685915
23339.20,23350.55,23337.35,23341.20,23344.61133333333,23344.3,2.448786411447194,Sideways,DOWN,NEUTRAL,neutral,1.739176675222e+12,2,13.200000000000728,70.83333333331841
23341.75,23344.6,23335.85,23340.40,23340.383000000027,23340.4,1.614267945540611,Sideways,DOWN,NEUTRAL,neutral,1.739176828221e+12,-1.3499999999985448,8.75,47.99999999996673
23339.80,23343.65,23335.8,23337.45,23339.653,23339.65,1.5034652196399632,Sideways,DOWN,NEUTRAL,neutral,1.739176981721e+12,-2.349999999998545,7.850000000002183,78.98089171973253
23337.90,23337.9,23325.05,23330.35,23331.43883333331,23330.75,3.8249815213788314,Sideways,DOWN,NEUTRAL,neutral,1.73917713422e+12,-7.55000000000291,12.850000000002183,58.75486381324224
23328.15,23335.85,23327.8,23330.10,23331.755,23331.725,1.6960714411054536,Sideways,DOWN,NEUTRAL,neutral,1.73917728722e+12,1.9499999999970896,8.049999999999272,71.42857142857788
23330.35,23338.3,23326.25,23332.35,23332.353333333333,23332.1,2.6004401336867597,Sideways,DOWN,NEUTRAL,neutral,1.739177440729e+12,2,12.049999999999272,49.37759336100487
23331.95,23333.75,23322.05,23323.00,23327.89583333334,23327.6,2.584264751443981,Sideways,DOWN,NEUTRAL,neutral,1.739177595735e+12,-8.950000000000728,11.700000000000728,91.88034188033618
23322.45,23331.8,23317.5,23327.70,23324.083000000006,23323.3,3.9329985591997128,Sideways,DOWN,NEUTRAL,neutral,1.739177749273e+12,5.25,14.299999999999272,28.671328671319955
23327.80,23337.25,23327.25,23330.80,23331.60333333333,23331.3,2.5161456414304104,Sideways,DOWN,NEUTRAL,neutral,1.739177904225e+12,3,10,64.50000000000728
23328.90,23350.2,23328.65,23346.45,23338.33733333332,23337.824999999997,5.595239603647184,Sideways,DOWN,NEUTRAL,neutral,1.739178060723e+12,17.549999999999272,21.549999999999272,17.401392111369496
23348.95,23355.05,23345.8,23352.60,23351.002999999997,23351.074999999997,1.2136546735651172,Sideways,DOWN,NEUTRAL,neutral,1.739178215224e+12,3.649999999997817,9.25,26.486486486494353
23353.45,23363.35,23351.1,23356.60,23355.7565,23355.3,2.9018900880862737,Sideways,DOWN,NEUTRAL,neutral,1.73917837173e+12,3.149999999997817,12.25,55.10204081632652
23357.65,23367.75,23354.1,23366.70,23361.085666666677,23360.574999999997,3.547345658689353,Sideways,DOWN,NEUTRAL,neutral,1.739178524225e+12,9.049999999999272,13.650000000001455,7.692307692301542
23364.65,23392.2,23364.05,23380.60,23373.729999999996,23369.525,7.811233363987192,Sideways,DOWN,NEUTRAL,neutral,1.739178676727e+12,15.94999999999709,28.150000000001455,41.207815275316456
23377.15,23385.1,23369.95,23372.30,23376.28566666668,23376.475,3.3580789978134042,Sideways,DOWN,NEUTRAL,neutral,1.739178829225e+12,-4.850000000002183,15.149999999997817,84.48844884489186
23372.15,23376.95,23364.75,23366.95,23372.068999999992,23372.3,2.4467098315901232,Sideways,DOWN,NEUTRAL,neutral,1.739178983224e+12,-5.200000000000728,12.200000000000728,81.9672131147492
23367.40,23381.15,23360.1,23380.90,23368.313166666656,23368.125,4.3458181016031965,Sideways,DOWN,NEUTRAL,neutral,1.739179136225e+12,13.5,21.05000000000291,1.187648456056843
23381.70,23383.1,23370.45,23382.70,23377.42066666667,23377.525,3.813568699030144,Sideways,DOWN,NEUTRAL,neutral,1.739179290728e+12,1,12.649999999997817,3.1620553359516697
23381.80,23388.6,23375.1,23383.25,23383.230833333342,23384.35,3.1639886702635405,Sideways,DOWN,NEUTRAL,neutral,1.739179444725e+12,1.4500000000007276,13.5,39.629629629618854
23384.60,23392.1,23382.6,23386.10,23388.207666666647,23388.55,2.210401446696048,Sideways,DOWN,NEUTRAL,neutral,1.739179601223e+12,1.5,9.5,63.1578947368421
23387.55,23400.8,23385.2,23395.70,23396.40599999999,23397,2.5526712805737763,Sideways,DOWN,NEUTRAL,neutral,1.739179757224e+12,8.150000000001455,15.599999999998545,32.69230769230141
23395.95,23409.9,23379.55,23394.45,23394.694000000007,23397.05,6.4962140769322705,Sideways,DOWN,NEUTRAL,neutral,1.739179911227e+12,-1.5,30.350000000002183,50.9060955518933
23395.60,23396.75,23386.2,23392.10,23391.426833333342,23391.125,2.539725373386338,Sideways,DOWN,NEUTRAL,neutral,1.739180066724e+12,-3.5,10.549999999999272,44.075829383903084
23391.70,23392.3,23376.05,23376.05,23385.7845,23386.25,3.5547130334247425,Sideways,DOWN,NEUTRAL,neutral,1.739180223225e+12,-15.650000000001455,16.25,100
23376.70,23381.65,23371.6,23381.30,23377.32883333333,23377.324999999997,2.5018880148577094,Sideways,DOWN,NEUTRAL,neutral,1.739180379726e+12,4.599999999998545,10.05000000000291,3.4825870646973276
23381.20,23393.7,23378.2,23384.10,23387.061499999996,23386.824999999997,3.066633781526562,Sideways,DOWN,NEUTRAL,neutral,1.739180535724e+12,2.899999999997817,15.5,61.93548387098182
23384.15,23385.9,23378.6,23380.95,23382.243500000022,23382.3,1.7583323775668565,Sideways,DOWN,NEUTRAL,neutral,1.739180690722e+12,-3.2000000000007276,7.30000000000291,67.80821917806512
23381.45,23386.05,23373.2,23376.50,23378.75049999999,23379.1,3.483050590598264,Sideways,DOWN,NEUTRAL,neutral,1.739180844225e+12,-4.950000000000728,12.849999999998545,74.31906614786269
23375.70,23379.55,23370.85,23379.20,23376.218166666637,23376.625,1.9394359073938237,Sideways,DOWN,NEUTRAL,neutral,1.739180998231e+12,3.5,8.700000000000728,4.022988505730064
23379.15,23382.35,23375.3,23381.95,23379.870166666657,23380.3,1.5815135068099146,Sideways,DOWN,NEUTRAL,neutral,1.739181150722e+12,2.7999999999992724,7.049999999999272,5.673758865217851
23381.80,23382.1,23375.85,23381.00,23379.35583333334,23379.1,1.5694184609452242,Sideways,DOWN,NEUTRAL,neutral,1.739181310722e+12,-0.7999999999992724,6.25,17.599999999976717
23380.35,23387.15,23380.25,23381.10,23384.022166666673,23384.1,1.4861023873057124,Sideways,DOWN,NEUTRAL,neutral,1.739181463224e+12,0.75,6.900000000001455,87.68115942031355
