token,ltp,ltt
71975,87.2,1755834350
71973,69.3,1755834350
72038,33.25,1755834350
71969,43.05,1755834350
71971,54.95,1755834350
71990,76.3,1755834350
71987,108.2,1755834350
71989,133.2,1755834350
71989,133.3,1755834350
71988,97.65,1755834350
71975,86.95,1755834351
72040,24.6,1755834351
72038,32.95,1755834351
71992,58.15,1755834351
71969,42.7,1755834351
72038,32.8,1755834351
71973,69.15,1755834351
71992,58.35,1755834351
72036,44.05,1755834351
71971,54.5,1755834351
71987,108.3,1755834351
71990,76.05,1755834351
71990,76,1755834351
71987,108.25,1755834351
72036,44,1755834351
71971,54.55,1755834351
71989,133.05,1755834351
71988,97.2,1755834351
71969,42.6,1755834351
71975,86.6,1755834352
72040,24.35,1755834352
71973,68.9,1755834352
72038,32.95,1755834352
71992,58.55,1755834352
71969,42.45,1755834352
71971,54.2,1755834352
72036,44.1,1755834352
71989,132.85,1755834352
71988,97.3,1755834352
71987,107.45,1755834352
71989,132.7,1755834352
71988,97.35,1755834352
71975,86.85,1755834352
72040,24.6,1755834352
71975,86.5,1755834353
72040,24.65,1755834353
71992,58.75,1755834353
71987,107.7,1755834353
72038,33.25,1755834353
71973,68.8,1755834353
72038,33.2,1755834353
71990,75.9,1755834353
72036,44.05,1755834353
71971,54.75,1755834353
71969,42.8,1755834353
71992,58.55,1755834353
71969,42.9,1755834353
72036,44.1,1755834353
71971,54.85,1755834353
71990,76,1755834353
71987,109,1755834353
71989,133.7,1755834353
71988,96.95,1755834353
71975,87.35,1755834354
72040,24.55,1755834354
71989,133.85,1755834354
71988,96.75,1755834354
71973,69.5,1755834354
72038,32.8,1755834354
71992,58.25,1755834354
71969,42.8,1755834354
71975,87.3,1755834354
72040,24.45,1755834354
71971,54.9,1755834354
71990,75.9,1755834354
71989,134.2,1755834354
71988,96.5,1755834354
71987,108.65,1755834354
72038,32.9,1755834354
71973,69.3,1755834354
72036,44,1755834354
71971,54.55,1755834354
71992,58.15,1755834354
71969,42.7,1755834354
71990,75.75,1755834355
71975,87.25,1755834355
72040,24.55,1755834355
71973,69.35,1755834355
72038,33.05,1755834355
71992,58.3,1755834355
71969,42.8,1755834355
72036,43.95,1755834355
71971,54.8,1755834355
71990,75.65,1755834355
71987,108.9,1755834355
71989,133.95,1755834355
71988,96.7,1755834355
71989,134,1755834355
71988,96.5,1755834355
72040,24.6,1755834356
72038,33.2,1755834356
71992,58.65,1755834356
71987,108.8,1755834356
72038,33.25,1755834356
71973,69.5,1755834356
72036,44.25,1755834356
71971,54.75,1755834356
72036,44.35,1755834356
71971,54.7,1755834356
71990,76.15,1755834356
71990,76.25,1755834356
71987,108.75,1755834356
71988,97.3,1755834356
71989,133.65,1755834356
71969,42.85,1755834356
71975,87.55,1755834357
72040,24.5,1755834357
71989,134.05,1755834357
71988,96.7,1755834357
71973,69.55,1755834357
72038,32.95,1755834357
71992,58.05,1755834357
72036,43.9,1755834357
71971,54.95,1755834357
71990,75.5,1755834357
71987,108.65,1755834357
71989,133.65,1755834357
71988,96.3,1755834357
71975,87.25,1755834357
72040,24.45,1755834357
72038,32.85,1755834358
71973,69.45,1755834358
71992,58,1755834358
71973,69.3,1755834358
71990,75.55,1755834358
71971,54.6,1755834358
71969,42.75,1755834358
71992,58.05,1755834358
71969,42.85,1755834358
71971,54.85,1755834358
71987,108.4,1755834358
71989,133.4,1755834358
71988,96.7,1755834358
71989,133.9,1755834358
71988,96.15,1755834358
72040,24.35,1755834359
71973,69.25,1755834359
72038,32.6,1755834359
71992,57.65,1755834359
71969,42.65,1755834359
71975,87.65,1755834359
72040,24.15,1755834359
72036,43.15,1755834359
71990,74.35,1755834359
71987,109.1,1755834359
71989,134.05,1755834359
71988,95.25,1755834359
71987,109.2,1755834359
72038,32.25,1755834359
71973,69.35,1755834359
72036,43.2,1755834359
71971,54.6,1755834359
71992,57.05,1755834359
71990,74.25,1755834360
71975,87.95,1755834360
72040,23.9,1755834360
71973,69.8,1755834360
71992,56.6,1755834360
71969,43.55,1755834360
71989,136.5,1755834360
71988,94.6,1755834360
72038,32.1,1755834360
72036,42.85,1755834360
71971,55.85,1755834360
71990,73.75,1755834360
71987,110.65,1755834360
71989,136.2,1755834360
71988,94.65,1755834360
71975,87.85,1755834361
72040,24.1,1755834361
72040,24.2,1755834361
71975,87.6,1755834361
72038,32.45,1755834361
71973,69.25,1755834361
71992,57.7,1755834361
71969,42.75,1755834361
71987,108.7,1755834361
72038,32.65,1755834361
71973,69.2,1755834361
72036,43.5,1755834361
71971,54.55,1755834361
71992,57.65,1755834361
72036,43.65,1755834361
71971,54.7,1755834361
71990,75.2,1755834361
71987,108.85,1755834361
71990,75.1,1755834361
71989,134.3,1755834361
71969,43,1755834361
71988,95,1755834361
71989,135.25,1755834361
71988,95.2,1755834361
71975,87.95,1755834362
72040,24.05,1755834362
72038,32.3,1755834362
71973,69.4,1755834362
71992,57.45,1755834362
71969,42.7,1755834362
71971,54.45,1755834362
72036,43.2,1755834362
71990,74.5,1755834362
71987,109.1,1755834362
71989,134.4,1755834362
71975,87.6,1755834362
72040,23.75,1755834362
71987,109.15,1755834362
72038,32.1,1755834363
71973,69.3,1755834363
