ltp,ltt
22960.40,1738042733
22960.05,1738042733
22960.85,1738042734
22962.40,1738042734
22961.90,1738042735
22961.75,1738042735
22960.75,1738042736
22960.40,1738042736
22959.85,1738042737
22959.30,1738042737
22959.45,1738042738
22958.90,1738042738
22960.25,1738042739
22960.40,1738042739
22959.70,1738042740
22959.10,1738042740
22960.75,1738042741
22959.85,1738042741
22959.90,1738042742
22960.25,1738042742
22960.45,1738042743
22958.85,1738042743
22960.10,1738042744
22956.80,1738042744
22958.30,1738042745
22958.25,1738042745
22958.30,1738042746
22959.20,1738042746
22958.50,1738042747
22958.75,1738042747
22958.65,1738042748
22958.55,1738042748
22957.65,1738042749
22956.15,1738042749
22955.05,1738042750
22954.05,1738042750
22954.70,1738042751
22955.35,1738042751
22955.25,1738042752
22954.90,1738042752
22954.85,1738042753
22954.55,1738042753
22955.10,1738042754
22954.05,1738042754
22954.35,1738042755
22954.55,1738042755
22953.35,1738042756
22954.85,1738042756
22954.80,1738042757
22953.65,1738042757
22952.50,1738042758
22953.05,1738042758
22954.00,1738042759
22952.00,1738042759
22951.25,1738042760
22952.45,1738042760
22952.75,1738042761
22952.80,1738042761
22951.75,1738042762
22952.95,1738042762
22952.15,1738042763
22951.75,1738042763
22951.80,1738042764
22952.35,1738042764
22952.50,1738042765
22952.70,1738042765
22952.00,1738042766
22951.30,1738042766
22952.70,1738042767
22951.60,1738042767
22951.40,1738042768
22951.70,1738042768
22952.15,1738042769
22952.20,1738042769
22952.95,1738042770
22952.90,1738042770
22952.55,1738042771
22954.80,1738042771
22954.65,1738042772
22954.35,1738042772
22955.75,1738042773
22955.80,1738042773
22956.10,1738042774
22955.45,1738042774
22955.65,1738042775
22955.60,1738042775
22955.00,1738042776
22955.95,1738042776
22955.25,1738042777
22954.95,1738042777
22954.90,1738042778
22955.10,1738042779
22954.80,1738042779
22954.60,1738042780
22955.70,1738042780
22955.10,1738042781
22955.80,1738042781
22954.65,1738042782
22954.85,1738042782
22954.10,1738042783
22953.45,1738042783
22953.70,1738042784
22953.90,1738042784
22954.00,1738042785
22953.65,1738042785
22952.70,1738042786
22951.90,1738042786
22948.35,1738042787
22948.90,1738042787
22950.15,1738042788
22950.75,1738042788
22949.90,1738042789
22950.70,1738042789
22949.15,1738042790
22949.30,1738042790
22949.20,1738042791
22949.30,1738042791
22949.20,1738042792
22948.10,1738042792
22947.65,1738042793
22947.35,1738042793
22945.90,1738042794
22947.60,1738042794
22945.40,1738042795
22946.05,1738042795
22945.70,1738042796
22944.95,1738042796
22945.55,1738042797
22945.85,1738042797
22947.00,1738042798
22946.65,1738042798
22946.00,1738042799
22947.30,1738042799
22946.80,1738042800
22945.70,1738042800
22945.10,1738042801
22947.15,1738042801
22948.10,1738042802
22947.75,1738042802
22948.20,1738042803
22947.70,1738042803
22947.65,1738042804
22947.10,1738042804
22946.70,1738042805
22946.65,1738042805
22946.25,1738042806
22947.50,1738042806
22946.55,1738042807
22947.05,1738042807
22947.40,1738042808
22947.10,1738042808
22947.20,1738042809
22947.75,1738042809
22949.45,1738042810
22948.30,1738042810
22948.80,1738042811
22949.75,1738042811
22949.25,1738042812
22949.45,1738042812
22949.80,1738042813
22950.10,1738042813
22949.80,1738042814
22950.15,1738042814
22950.75,1738042815
22949.75,1738042815
22949.45,1738042816
22950.30,1738042817
22949.90,1738042817
22949.95,1738042818
22950.80,1738042818
22951.40,1738042819
22951.60,1738042819
22952.30,1738042820
22952.25,1738042820
22952.30,1738042821
22952.15,1738042821
22952.20,1738042822
22952.35,1738042822
22951.75,1738042823
22952.50,1738042823
22952.80,1738042824
22952.30,1738042825
22953.00,1738042825
22952.95,1738042826
22951.60,1738042827
22950.75,1738042827
22951.55,1738042828
22950.85,1738042828
22951.50,1738042829
22951.60,1738042829
22950.50,1738042830
22949.70,1738042830
22949.45,1738042831
22948.15,1738042831
22948.90,1738042832
22947.55,1738042832
22947.25,1738042833
22947.40,1738042833
22947.75,1738042834
22947.40,1738042834
22947.95,1738042835
22946.95,1738042835
22945.90,1738042836
22946.45,1738042836
22946.25,1738042837
22946.70,1738042837
22947.40,1738042838
22946.70,1738042839
22946.65,1738042839
22948.70,1738042840
22947.50,1738042840
22949.10,1738042841
22948.15,1738042841
22948.50,1738042842
22948.45,1738042842
22948.40,1738042843
22949.25,1738042843
22948.40,1738042844
22947.60,1738042844
22947.85,1738042845
22948.35,1738042845
22948.55,1738042846
22946.45,1738042846
22948.55,1738042847
22948.10,1738042847
22948.20,1738042848
22947.80,1738042848
22948.05,1738042849
22945.70,1738042849
22945.40,1738042850
22945.20,1738042850
22945.05,1738042851
22946.15,1738042851
22946.90,1738042852
22945.35,1738042852
22946.90,1738042853
22948.40,1738042853
22948.00,1738042854
22947.75,1738042854
22947.80,1738042855
22947.90,1738042855
22948.70,1738042856
22947.65,1738042856
22947.10,1738042857
22948.75,1738042857
22946.95,1738042858
22947.55,1738042859
22946.80,1738042859
22947.35,1738042860
22948.10,1738042860
22948.25,1738042861
22947.30,1738042861
22947.55,1738042862
22947.45,1738042862
22947.40,1738042863
22947.00,1738042863
22945.95,1738042864
22946.50,1738042864
22947.15,1738042865
22947.45,1738042865
22946.65,1738042866
22946.40,1738042866
22946.00,1738042867
22945.40,1738042867
22944.25,1738042868
22943.70,1738042868
22944.75,1738042869
22944.65,1738042869
22945.30,1738042870
22945.25,1738042870
22944.60,1738042871
22944.65,1738042871
22944.90,1738042872
22944.40,1738042872
22943.90,1738042873
22944.55,1738042873
22945.10,1738042874
22943.30,1738042874
22943.60,1738042875
22944.30,1738042875
22943.85,1738042876
22946.00,1738042876
22945.95,1738042877
22944.95,1738042877
22945.00,1738042878
22945.50,1738042878
22945.80,1738042879
22945.90,1738042879
22944.55,1738042880
22946.30,1738042880
22945.30,1738042881
22945.15,1738042881
22945.10,1738042882
22946.60,1738042882
22945.30,1738042883
22944.10,1738042883
22943.85,1738042884
22942.75,1738042884
22943.25,1738042885
22944.25,1738042885
22943.25,1738042886
22943.00,1738042886
22943.40,1738042887
22942.85,1738042888
22942.65,1738042888
22942.10,1738042889
22942.40,1738042889
22941.35,1738042890
22944.00,1738042890
22942.45,1738042891
22942.85,1738042891
22943.20,1738042892
22943.35,1738042892
22942.35,1738042893
22942.85,1738042893
22942.25,1738042894
22941.75,1738042894
22942.30,1738042895
22942.35,1738042895
22942.60,1738042896
22942.15,1738042896
22942.60,1738042897
22944.65,1738042897
22945.15,1738042898
22944.55,1738042898
